index,dateSold,propertyType,lotAreaValue,address,priceChange,zestimate,imgSrc,price,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,variableData.text,variableData.type,listingSubType.is_FSBA,listingSubType.is_openHouse,variableData,unit,cluster,subcluster,residual
10,,SINGLE_FAMILY,6360.0,"4 Willow Ter, West Roxbury, MA 02132",,1195001.0,https://photos.zillowstatic.com/fp/d26caeb08e657e0cc02c704a0c7e74dc-p_e.jpg,1195000,4,,-71.15488,42.290245,FOR_SALE,113389091,5617.0,-1,3,2368,USA,USD,sqft,1.0,Open: Sat. 2-4pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,193412.32049358287
11,,CONDO,,"84 Shepton St APT 2, Dorchester, MA 02124",,448564.0,https://photos.zillowstatic.com/fp/26c773cb92780511c5d7e3fa2975cceb-p_e.jpg,445000,2,,-71.05971,42.290398,FOR_SALE,295324955,2552.0,4,1,938,USA,USD,,1.0,,,1,,,Apt 2,7.0,1.0,-12421.173255028669
12,,CONDO,0.0,"106 Forest Hills St #203, Jamaica Plain, MA 02130",,1086097.0,https://photos.zillowstatic.com/fp/534c2e879226c2818f0329059b0aa871-p_e.jpg,1095000,3,,-71.102234,42.308334,FOR_SALE,2066411467,,2,2,1392,USA,USD,sqft,1.0,,,1,,,# 203,11.0,1.0,268692.03068141104
13,,SINGLE_FAMILY,10010.0,"28 Billings St, Boston, MA 02132",,1349011.0,https://photos.zillowstatic.com/fp/e61ba8a2dc683989d315552ba81595f3-p_e.jpg,1349000,5,,-71.17071,42.271896,FOR_SALE,59159677,5746.0,-1,3,3600,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-2140.145444957074
15,,MULTI_FAMILY,3324.0,"40 Stellman Rd, Roslindale, MA 02131",,,https://photos.zillowstatic.com/fp/8bdde45b32740aa433893e4fb9af1604-p_e.jpg,1350000,9,,-71.12222,42.289173,FOR_SALE,59145171,4352.0,1,6,2769,USA,USD,sqft,1.0,,,1,,,,12.0,1.0,109427.1891046823
16,,SINGLE_FAMILY,5380.0,"2 Northdale Terrace, Boston, MA 02132",,,https://photos.zillowstatic.com/fp/939471d8a41c35a2c714567f15e1d250-p_e.jpg,1275000,4,,-71.16677,42.268955,FOR_SALE,2094621937,5109.0,-1,3,2550,USA,USD,sqft,1.0,Open: Sat. 11:30am-1:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,221773.88802538952
17,,TOWNHOUSE,,"37-38 Monument Ave #1, Charlestown, MA 02129",,,https://photos.zillowstatic.com/fp/f90cefa1cb3b3cacfc5c2d695a5c7868-p_e.jpg,1585000,3,,-71.06186,42.375797,FOR_SALE,2063008948,,-1,2,1587,USA,USD,,1.0,Open: Sun. 12:30-1:45pm,OPEN_HOUSE,1,1.0,,# 1,5.0,1.0,-62101.40534176305
18,,CONDO,,"159 Hyde Park Ave UNIT B, Jamaica Plain, MA 02130",,930550.0,https://photos.zillowstatic.com/fp/ad1acf293c82e1f84c12285b76543ef9-p_e.jpg,929000,3,,-71.1166,42.296055,FOR_SALE,2069683094,3999.0,-1,2,1818,USA,USD,,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,Unit B,12.0,1.0,77144.30487551854
19,,TOWNHOUSE,760.0,"660 Massachusetts Ave #3, Boston, MA 02118",,582361.0,https://photos.zillowstatic.com/fp/7f760bb49aa05469fffe785f56cc50cd-p_e.jpg,599000,2,,-71.07614,42.33615,FOR_SALE,59183770,3469.0,169,1,760,USA,USD,sqft,1.0,,,1,,,# 3,4.0,1.0,238378.69226804748
21,,TOWNHOUSE,,"44 High St #7, Boston, MA 02129",,1386189.0,https://photos.zillowstatic.com/fp/412b49e4b853fb0aeb65bd7d4dddee7c-p_e.jpg,1399000,2,,-71.06304,42.376026,FOR_SALE,59101356,4270.0,-1,2,1417,USA,USD,,1.0,Open: Sun. 11am-12:15pm,OPEN_HOUSE,1,1.0,,# 7,5.0,1.0,-20325.415453853784
22,,CONDO,917.0,"103 Gainsborough St APT 108, Boston, MA 02115",,849000.0,https://photos.zillowstatic.com/fp/227ae38966e8b38e821869e49fcafb91-p_e.jpg,849000,2,,-71.08915,42.342644,FOR_SALE,59177600,4200.0,-1,2,917,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,Apt 108,4.0,1.0,3397.4909382457845
23,,MULTI_FAMILY,3000.0,"909-911 E 2nd St, Boston, MA 02127",,,https://photos.zillowstatic.com/fp/ebf1fa58bd084442e118f42c5202015f-p_e.jpg,1400000,5,,-71.02684,42.33733,FOR_SALE,2061998313,,-1,3,1922,USA,USD,sqft,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,,1.0,1.0,-814037.7786058439
25,,CONDO,,"515 E 1st St UNIT 7, South Boston, MA 02127",,1312220.0,https://photos.zillowstatic.com/fp/030eaaf51434c71eb7a15f8faa292eed-p_e.jpg,1339000,2,,-71.0391,42.33796,FOR_SALE,295324778,4294.0,-1,2,1421,USA,USD,,1.0,Open: Sun. 12:30-2pm,OPEN_HOUSE,1,1.0,,Unit 7,1.0,1.0,-80662.43970021
26,,CONDO,,"23 Verdun St #1, Dorchester Center, MA 02124",,,https://photos.zillowstatic.com/fp/120f8d0542dfe0f5639a0ebb1efb1daf-p_e.jpg,599000,3,,-71.06003,42.28274,FOR_SALE,2058417009,,-1,2,1115,USA,USD,,1.0,Open: Sat. 10:30-11:30am,OPEN_HOUSE,1,1.0,,# 1,7.0,1.0,100388.88426230411
27,,CONDO,1247.0,"723 E 5th St #2, South Boston, MA 02127",,949003.0,https://photos.zillowstatic.com/fp/e947bb7a46ccb03a0727c3a85a3b6f74-p_e.jpg,949000,2,,-71.03082,42.333862,FOR_SALE,71333603,3742.0,-1,2,1247,USA,USD,sqft,1.0,Open: Sat. 1-2:30pm,OPEN_HOUSE,1,1.0,,# 2,1.0,1.0,-194771.60343358293
29,,MULTI_FAMILY,2633.0,"2 Harvard Ave, Boston, MA 02121",,639906.0,https://photos.zillowstatic.com/fp/472749956e8737813d2799d56418bab7-p_e.jpg,639900,6,,-71.07535,42.299145,FOR_SALE,59110387,2853.0,1,3,2730,USA,USD,sqft,1.0,,,1,,,,7.0,1.0,-234540.2519496032
30,,SINGLE_FAMILY,3913.0,"67 Williams Ave, Hyde Park, MA 02136",,495388.0,https://photos.zillowstatic.com/fp/a8fa2b8deb3b8d26bc4e0e437d2b9116-p_e.jpg,470000,3,,-71.118126,42.248753,FOR_SALE,59127522,2900.0,-1,1,1554,USA,USD,sqft,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,,9.0,1.0,-60240.44397459645
31,,CONDO,,"1840 Commonwealth Ave APT 4, Brighton, MA 02135",,516269.0,https://photos.zillowstatic.com/fp/d3120bc21d5f38489903547a2bc82cee-p_e.jpg,499000,2,,-71.15144,42.339622,FOR_SALE,59089763,3229.0,-1,2,908,USA,USD,,1.0,Open: Sun. 3-3:30pm,OPEN_HOUSE,1,1.0,,Apt 4,10.0,1.0,-112260.78537949
32,,CONDO,4356.0,"54 Green St #1, Jamaica Plain, MA 02130",,743883.0,https://photos.zillowstatic.com/fp/a636be7b385742e4a7fbfe26ab15fd17-p_e.jpg,719000,2,,-71.11088,42.31228,FOR_SALE,103864554,3300.0,-1,2,1045,USA,USD,sqft,1.0,Open: Sat. 12-1pm,OPEN_HOUSE,1,1.0,,# 1,11.0,1.0,76522.83973012771
33,,CONDO,1318.0,"210 Lincoln St #202, Boston, MA 02111",,,https://photos.zillowstatic.com/fp/05365f1c203415e311f7ec2d7f0c0e7f-p_e.jpg,950000,1,,-71.05855,42.35006,FOR_SALE,2063632946,,-1,1,1318,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,# 202,1.0,1.0,-306347.7492665169
34,,CONDO,,"42 8th St APT 2508, Charlestown, MA 02129",,899008.0,https://photos.zillowstatic.com/fp/195f59b302a91671778dcc7b0083f3a5-p_e.jpg,899000,2,,-71.05299,42.37524,FOR_SALE,67096455,4023.0,-1,2,1089,USA,USD,,1.0,Open: Sun. 11:30am-1:30pm,OPEN_HOUSE,1,1.0,,Apt 2508,5.0,1.0,-80851.7408465941
35,,CONDO,0.0,"39 A St UNIT 16, South Boston, MA 02127",,1089730.0,https://photos.zillowstatic.com/fp/36c0d4240c8671c5539ff5f3e29dbff8-p_e.jpg,1100000,2,,-71.05594,42.341297,FOR_SALE,318227323,4470.0,-1,2,1109,USA,USD,sqft,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,Unit 16,1.0,1.0,175038.3701571906
36,,CONDO,,"7 Austin St APT 2, Hyde Park, MA 02136",,,https://photos.zillowstatic.com/fp/012f390231884ee56cd02f2332515a2c-p_e.jpg,599000,4,,-71.12624,42.25736,FOR_SALE,2058407987,,2,2,1400,USA,USD,,1.0,,,1,,,Apt 2,9.0,1.0,114714.02381267404
37,,CONDO,,"150 M St #1, South Boston, MA 02127",,829006.0,https://photos.zillowstatic.com/fp/5246a4a5fa424efffab3dcbc7d004164-p_e.jpg,829000,2,,-71.03305,42.33279,FOR_SALE,113390071,3599.0,-1,2,869,USA,USD,,1.0,Open: Sat. 3-4:30pm,OPEN_HOUSE,1,1.0,,# 1,1.0,1.0,284577.4546628832
38,,CONDO,,"33 Blenford Rd #2, Brighton, MA 02135",,,https://photos.zillowstatic.com/fp/7a535deb13b68d80e7cd7cb858b2ee82-p_e.jpg,789000,4,,-71.15101,42.344776,FOR_SALE,59090269,3800.0,-1,2,1655,USA,USD,,1.0,Open: Fri. 3-4:15pm,OPEN_HOUSE,1,1.0,,# 2,10.0,1.0,-127141.40362896654
39,,CONDO,1530.0,"15 Worcester Sq APT 1, Boston, MA 02118",,1274209.0,https://photos.zillowstatic.com/fp/30056431de34c12d634ceb5d8f5b6980-p_e.jpg,1299000,2,,-71.07542,42.337017,FOR_SALE,71504962,6410.0,-1,3,1530,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,Apt 1,4.0,1.0,-1440191.5308144204
0,,CONDO,,"8 Ashton St #3, Dorchester Center, MA 02124",,,https://photos.zillowstatic.com/fp/bc111e6eb33dd9adae3fbe1798636254-p_e.jpg,599999,3,,-71.0887,42.288326,FOR_SALE,2058275761,,-1,2,1215,USA,USD,,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,# 3,6.0,1.0,71620.2216320734
1,,CONDO,,"31 Boardman St APT 2, Boston, MA 02128",,,https://photos.zillowstatic.com/fp/35305ac3ed9d32755485f565807e0c41-p_e.jpg,699990,2,,-71.00899,42.3881,FOR_SALE,2058275872,,-1,2,960,USA,USD,,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,Apt 2,3.0,1.0,19339.97272873833
3,,CONDO,0.28131313131313,"340 W 2nd St #17, Boston, MA 02127",,1117243.0,https://photos.zillowstatic.com/fp/601ae1c0ae6efc66e59b41d5dc94e9f3-p_e.jpg,1199000,2,,-71.04675,42.33879,FOR_SALE,2079088161,4500.0,1,2,1241,USA,USD,acres,1.0,,,1,,,# 17,1.0,1.0,64741.87367905956
4,,CONDO,,"100 Main St APT 6, Charlestown, MA 02129",,1219007.0,https://photos.zillowstatic.com/fp/5f43b6cc9e98ea5e93aac2512c1a4cdc-p_e.jpg,1219000,2,,-71.06382,42.373924,FOR_SALE,59100036,4459.0,-1,2,1424,USA,USD,,1.0,Open: Sun. 1-2pm,OPEN_HOUSE,1,1.0,,Apt 6,5.0,1.0,-209704.42680217954
5,,CONDO,,"31 Boardman St #4, Boston, MA 02128",,,https://photos.zillowstatic.com/fp/35305ac3ed9d32755485f565807e0c41-p_e.jpg,749990,2,,-71.00907,42.388123,FOR_SALE,2058275873,,-1,2,940,USA,USD,,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,# 4,3.0,1.0,73072.75835994899
6,,SINGLE_FAMILY,6750.0,"41 Wycliff Ave, West Roxbury, MA 02132",,715580.0,https://photos.zillowstatic.com/fp/66e9c6b3952834f699ab025d3bd0f5bc-p_e.jpg,695000,4,,-71.16907,42.276726,FOR_SALE,59159279,4200.0,-1,2,1648,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-102303.77084103669
7,,CONDO,,"33 Boardman St FLOOR 2, Boston, MA 02128",,,https://photos.zillowstatic.com/fp/35305ac3ed9d32755485f565807e0c41-p_e.jpg,649990,2,,-71.00905,42.38817,FOR_SALE,2058275765,,-1,2,960,USA,USD,,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,Floor 2,3.0,1.0,-30660.02727126167
8,,MULTI_FAMILY,4941.0,"306 Talbot Ave, Dorchester, MA 02124",,954784.0,https://photos.zillowstatic.com/fp/8147694f10d791e8c0ca71537708b524-p_e.jpg,989900,7,,-71.07385,42.290962,FOR_SALE,59108510,4366.0,2,3,3847,USA,USD,sqft,1.0,,,1,,,,7.0,1.0,-144479.04151536198
9,,SINGLE_FAMILY,4946.0,"21 Glenhaven Rd, West Roxbury, MA 02132",,766894.0,https://photos.zillowstatic.com/fp/d899a121f233f7a3d3646e5ccc5e5243-p_e.jpg,749000,3,,-71.16347,42.271156,FOR_SALE,59159830,3476.0,-1,2,1402,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,21493.23128630151
10,,CONDO,,"60 Sutherland Rd APT 3, Brighton, MA 02135",,527009.0,https://photos.zillowstatic.com/fp/315dd113e249e73805298ed1b6a916d9-p_e.jpg,500000,2,,-71.1499,42.338573,FOR_SALE,59093940,2356.0,-1,1,877,USA,USD,,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,Apt 3,10.0,1.0,-98608.44379216235
11,,CONDO,4876.0,"20-20 Glen Rd #3, Jamaica Plain, MA 02130",,,https://photos.zillowstatic.com/fp/650e2cdbc1ec0298be04ec7d03ac7fc8-p_e.jpg,525000,2,,-71.10354,42.309353,FOR_SALE,2058275551,,-1,1,878,USA,USD,sqft,1.0,Open: Sat. 1:30-3pm,OPEN_HOUSE,1,1.0,,# 3,11.0,1.0,-29005.272341527278
12,,MULTI_FAMILY,5573.0,"50 Perrin St, Roxbury, MA 02119",,1266666.0,https://photos.zillowstatic.com/fp/ecf6a2f5be5377bc292cc864573a53a2-p_e.jpg,1330000,8,,-71.07892,42.32169,FOR_SALE,59185817,5463.0,-1,7,4100,USA,USD,sqft,1.0,Open: Sun. 2-4pm,OPEN_HOUSE,1,1.0,,,2.0,1.0,50914.65352954995
13,,SINGLE_FAMILY,5734.0,"15 Caryll St, Mattapan, MA 02126",,538029.0,https://photos.zillowstatic.com/fp/4c934d538b0dae4237126f3317d1643a-p_e.jpg,529999,2,,-71.07693,42.27595,FOR_SALE,59136619,3354.0,-1,2,1236,USA,USD,sqft,1.0,Open: Fri. 4-6pm,OPEN_HOUSE,1,1.0,,,7.0,1.0,3229.7879888423486
14,,CONDO,820.0,"111 Gainsborough St UNIT 7, Boston, MA 02115",,774052.0,https://photos.zillowstatic.com/fp/ec4f859ea24d0e13db4cc159ef4a3137-p_e.jpg,789000,2,,-71.08954,42.342705,FOR_SALE,59177627,3499.0,-1,1,820,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,Unit 7,4.0,1.0,243035.558001881
15,,SINGLE_FAMILY,875.0,"13 Haynes St, East Boston, MA 02128",,969006.0,https://photos.zillowstatic.com/fp/17a0ccd780cd0c99edcec21e094fc24f-p_e.jpg,969000,3,,-71.03841,42.366737,FOR_SALE,59121318,4400.0,-1,3,1336,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,3.0,1.0,218173.60286197672
16,,CONDO,743.0,"699 Hyde Park Ave APT 5, Roslindale, MA 02131",,408508.0,https://photos.zillowstatic.com/fp/1bedf4717d34b91de1e71fa19d1f2c4e-p_e.jpg,389000,2,,-71.12004,42.276474,FOR_SALE,71495300,2350.0,-1,1,743,USA,USD,sqft,1.0,Open: Fri. 6-7pm,OPEN_HOUSE,1,1.0,,Apt 5,12.0,1.0,-23454.11841191695
17,,CONDO,,"391 Hyde Park Ave APT 208, Roslindale, MA 02131",,,https://photos.zillowstatic.com/fp/1639158c555799c4f9ce6af9ab3834ac-p_e.jpg,495000,2,,-71.11926,42.287052,FOR_SALE,59141300,2618.0,8,2,1166,USA,USD,,1.0,,,1,,,Apt 208,12.0,1.0,-90353.52952765161
18,,CONDO,,"43 Wachusett St #2, Jamaica Plain, MA 02130",,625988.0,https://photos.zillowstatic.com/fp/e394113c982e983833da2e5b8facaaa0-p_e.jpg,599000,2,,-71.113365,42.29649,FOR_SALE,60112527,5394.0,-1,1,983,USA,USD,,1.0,Open: Sun. 12-1:30pm,OPEN_HOUSE,1,1.0,,# 2,12.0,1.0,88446.9249266733
19,,CONDO,1380.0,"603 Tremont St #4, Boston, MA 02118",,1630872.0,https://photos.zillowstatic.com/fp/e4cde495d459eed206a20254d2b08be8-p_e.jpg,1650000,3,,-71.07358,42.34319,FOR_SALE,59182615,6597.0,-1,2,1380,USA,USD,sqft,1.0,Open: Sun. 11:30am-1pm,OPEN_HOUSE,1,1.0,,# 4,4.0,1.0,-625833.6951490045
20,,MULTI_FAMILY,3250.0,"114 White St, East Boston, MA 02128",,1245000.0,https://photos.zillowstatic.com/fp/d2964eefb513506942be971c7a85c664-p_e.jpg,1299000,9,,-71.03236,42.380756,FOR_SALE,59121924,3945.0,-1,6,4068,USA,USD,sqft,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,,3.0,1.0,38275.085638592485
21,,CONDO,562.0,"169-171 Chelsea St UNIT 4, Boston, MA 02128",,,https://photos.zillowstatic.com/fp/84d4d3872466b77177334dc57bb1f71a-p_e.jpg,415000,1,,-71.03381,42.373837,FOR_SALE,2058275624,,-1,1,562,USA,USD,sqft,1.0,Open: Fri. 5-6pm,OPEN_HOUSE,1,1.0,,Unit 4,3.0,1.0,-191367.5932101683
22,,CONDO,,"99 Chestnut Hill Ave APT 321, Brighton, MA 02135",,814981.0,https://photos.zillowstatic.com/fp/0b6aa9d5b4f3469c201599a112c6eec7-p_e.jpg,799000,2,,-71.1538,42.344044,FOR_SALE,81853797,3249.0,-1,2,1132,USA,USD,,1.0,Open: Fri. 12-1pm,OPEN_HOUSE,1,1.0,,Apt 321,10.0,1.0,96315.84315078752
23,,CONDO,1272.0,"39 Coffey St UNIT 4, Boston, MA 02122",,669096.0,https://photos.zillowstatic.com/fp/e08d60dd67cc25c430e7d33c8e61425f-p_e.jpg,675000,2,,-71.04936,42.28861,FOR_SALE,120937506,3214.0,-1,2,1272,USA,USD,sqft,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,Unit 4,7.0,1.0,139853.1725686388
24,,CONDO,,"110 McBride St, Jamaica Plain, MA 02130",,859987.0,https://photos.zillowstatic.com/fp/20facbec45d5d5dcb11179179def130a-p_e.jpg,849000,2,,-71.111336,42.306347,FOR_SALE,118324413,3369.0,-1,2,1162,USA,USD,,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,,11.0,1.0,144539.54100188613
25,,CONDO,940.0,"58 Percival St #2, Dorchester, MA 02122",,426185.0,https://photos.zillowstatic.com/fp/29cbf494171d9ea3b81c42fa5b3cb690-p_e.jpg,424900,2,,-71.063126,42.305626,FOR_SALE,71497242,2600.0,-1,1,940,USA,USD,sqft,1.0,Open: Sat. 12-2pm,OPEN_HOUSE,1,1.0,,# 2,2.0,1.0,-100781.44034672016
26,,CONDO,,"266 Bowen St #2, South Boston, MA 02127",,799000.0,https://photos.zillowstatic.com/fp/73b62f880477c7df163ab910a95a48b6-p_e.jpg,799000,2,,-71.04905,42.334892,FOR_SALE,247150660,3599.0,-1,2,946,USA,USD,,1.0,Open: Sat. 11am-1pm,OPEN_HOUSE,1,1.0,,# 2,1.0,1.0,132487.83171730698
27,,CONDO,6677.0,"300-302 Chestnut Ave #3, Jamaica Plain, MA 02130",,872558.0,https://photos.zillowstatic.com/fp/45ac99a9876053303037964e37b31212-p_e.jpg,859000,3,,-71.11014,42.31223,FOR_SALE,190073423,3614.0,-1,2,1154,USA,USD,sqft,1.0,Open: Sat. 1-2:30pm,OPEN_HOUSE,1,1.0,,# 3,11.0,1.0,158777.71527390264
28,,TOWNHOUSE,,"108 Main St APT 3, Charlestown, MA 02129",,1190006.0,https://photos.zillowstatic.com/fp/1b7f1f03d7e144110064d1ed1bedc20b-p_e.jpg,1190000,3,,-71.06373,42.374134,FOR_SALE,63041564,4429.0,1,2,1366,USA,USD,,1.0,,,1,,,Apt 3,5.0,1.0,-160992.61848748126
29,,SINGLE_FAMILY,6000.0,"16 Sturges Rd, West Roxbury, MA 02132",,899007.0,https://photos.zillowstatic.com/fp/616d7fd42180d31e9d11c349f9dead1b-p_e.jpg,899000,3,,-71.15501,42.280716,FOR_SALE,59157329,3499.0,-1,2,2160,USA,USD,sqft,1.0,Open: Sat. 12-1:30pm,OPEN_HOUSE,1,1.0,,,8.0,1.0,-43572.32811419619
30,,CONDO,1038.0,"560 E 6th St #2, South Boston, MA 02127",,639001.0,https://photos.zillowstatic.com/fp/1b70dc49b52e8a5473ce3427ffcf0fbf-p_e.jpg,639000,2,,-71.03827,42.3333,FOR_SALE,60112245,3317.0,-1,1,1038,USA,USD,sqft,1.0,Open: Fri. 5:30-7pm,OPEN_HOUSE,1,1.0,,# 2,1.0,1.0,-173385.48400987545
31,,CONDO,,"475 E 5th St UNIT 3, South Boston, MA 02127",,749002.0,https://photos.zillowstatic.com/fp/61f0ff6c299742e5a118df272cbb2bbe-p_e.jpg,749000,2,,-71.04185,42.33367,FOR_SALE,318225784,3200.0,-1,1,832,USA,USD,,1.0,Open: Sat. 11am-12:30pm,OPEN_HOUSE,1,1.0,,Unit 3,1.0,1.0,263243.896857511
32,,CONDO,911.0,"20 Farquhar St #3, Roslindale, MA 02131",,518087.0,https://photos.zillowstatic.com/fp/b941a7a99d9eba89ba44d91820f7e0ac-p_e.jpg,499000,2,,-71.135826,42.28922,FOR_SALE,71495315,2500.0,-1,1,911,USA,USD,sqft,1.0,Open: Sat. 1-2:30pm,OPEN_HOUSE,1,1.0,,# 3,12.0,1.0,17876.611925096193
33,,CONDO,,"280 E St #1, Boston, MA 02127",,,https://photos.zillowstatic.com/fp/3712351d9f7e5aa41f613484baf3b900-p_e.jpg,569000,2,,-71.050865,42.33663,FOR_SALE,2063631421,,-1,1,779,USA,USD,,1.0,Open: Sat. 10:30am-12:30pm,OPEN_HOUSE,1,1.0,,# 1,1.0,1.0,167279.6113525182
34,,MULTI_FAMILY,2543.0,"9 Wallingford Rd, Brighton, MA 02135",,1371922.0,https://photos.zillowstatic.com/fp/bcca01c7d6314e05a238f7c604202f96-p_e.jpg,1399000,5,,-71.15102,42.341522,FOR_SALE,59095304,5294.0,-1,4,2766,USA,USD,sqft,1.0,Open: Sat. 1-3pm,OPEN_HOUSE,1,1.0,,,10.0,1.0,29414.999483257765
